Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.13458896802696876,0.2678519419227982,0.8714799051652595,0.09845831661824407,0.2327637665636842,0.9034340860368654,0.8021590649329897,0.6715464524867438,0.20682193541279847
LR_Ridge,0.13460755671973043,0.2677139337859212,0.871462154672098,0.0983818935754802,0.23292713822988792,0.9035090402025043,0.8000658230373934,0.6706253237285845,0.20889174130048827
LR_Lasso,0.5438647647134615,0.6086622376350406,0.4806591345269702,0.47898334975714546,0.5844516787713231,0.5302228747037921,0.8740294167216396,0.6868572994829417,0.1357562465426183
LR_Elastic,0.5438649316723412,0.6086624239639623,0.48065897509658473,0.47898411865682516,0.5844522682157127,0.5302221205826283,0.8740298610843803,0.6868574285631919,0.13575580715497793
GAM,0.0199283729508423,0.09766035605132925,0.9809702353833999,0.020873765323996464,0.10828269483186669,0.9795274356133954,0.7007005736949666,0.5899183816608337,0.30714449391038934
RF,0.01097040465187376,0.05428943622695678,0.989524271811403,0.02718696384538881,0.09950351843883366,0.9733355789354802,0.5350164033126132,0.5339739700966146,0.4709736586504144
AdaB,0.05429653332103526,0.16739125004324842,0.9481518008948637,0.07470379819416408,0.19566294764234404,0.926732034459745,0.4675208177645266,0.528525181592446,0.5377135613125922
XGBoost,3.4124925424785632e-06,0.0012840133907589847,0.9999967413832529,0.024613862936356073,0.08050821255573007,0.9758592239614614,0.441964085305878,0.4881613044750502,0.5629841597199258
