Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.135,0.268,0.871,0.098,0.233,0.903,0.802,0.672,0.207
LR_Ridge,0.135,0.268,0.871,0.098,0.233,0.904,0.8,0.671,0.209
LR_Lasso,0.544,0.609,0.481,0.479,0.584,0.53,0.874,0.687,0.136
LR_Elastic,0.544,0.609,0.481,0.479,0.584,0.53,0.874,0.687,0.136
GAM,0.02,0.098,0.981,0.021,0.108,0.98,0.701,0.59,0.307
RF,0.011,0.054,0.99,0.027,0.1,0.973,0.535,0.534,0.471
AdaB,0.054,0.167,0.948,0.075,0.196,0.927,0.468,0.529,0.538
XGBoost,0.0,0.001,1.0,0.025,0.081,0.976,0.442,0.488,0.563
