Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.08998479222839897,0.2137779284180414,0.9126546164873843,0.07222588041190411,0.19463454466786456,0.9279931923719845,0.5248135850394983,0.5320259870121238,0.47249748860239693
LR_Ridge,0.09003719319135925,0.21378303284327566,0.9126037525347892,0.0722833705846338,0.19474623744065414,0.9279358765762525,0.5285373396580296,0.5349530346962704,0.46875465501519875
LR_Lasso,0.0903787919011814,0.2147330581162454,0.9122721735026222,0.07170369816688325,0.19526993686746788,0.9285137907537494,0.5306093851268935,0.537277979856022,0.46667199324783337
LR_Elastic,0.09051997045110419,0.21481003542964733,0.9121351359623737,0.07197742079025518,0.19566195537391748,0.9282408983753918,0.53301992731766,0.5392190241017489,0.4642491004422604
GAM,0.00565390888067455,0.053674766881932665,0.9945119299906319,0.02231919284741668,0.0982220717806487,0.9777485048764926,0.4017131423123189,0.4977759247131253,0.5962286467580242
RF,8.178347030448658e-30,2.370276774935612e-15,1.0,0.012778685927464345,0.054134574793413937,0.9872600738949788,0.39626635639358154,0.46359880834779255,0.6017033397406055
AdaB,0.030047060997411595,0.13299818572119484,0.9708342709778731,0.04870958731634999,0.16290616033348435,0.9514381567448453,0.36876986165782294,0.46193867009648976,0.6293407150700799
XGBoost,1.2146817201953668e-05,0.0017141273649120446,0.9999882094698372,0.012115280142560136,0.04793982510366463,0.9879214674627759,0.3382270132960981,0.4293921923034179,0.660040052273467
