Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.09,0.214,0.913,0.072,0.195,0.928,0.525,0.532,0.472
LR_Ridge,0.09,0.214,0.913,0.072,0.195,0.928,0.529,0.535,0.469
LR_Lasso,0.09,0.215,0.912,0.072,0.195,0.929,0.531,0.537,0.467
LR_Elastic,0.091,0.215,0.912,0.072,0.196,0.928,0.533,0.539,0.464
GAM,0.006,0.054,0.995,0.022,0.098,0.978,0.402,0.498,0.596
RF,0.0,0.0,1.0,0.013,0.054,0.987,0.396,0.464,0.602
AdaB,0.03,0.133,0.971,0.049,0.163,0.951,0.369,0.462,0.629
XGBoost,0.0,0.002,1.0,0.012,0.048,0.988,0.338,0.429,0.66
