Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.133,0.265,0.871,0.097,0.229,0.904,0.787,0.665,0.209
LR_Ridge,0.133,0.265,0.871,0.097,0.229,0.904,0.787,0.665,0.209
LR_Lasso,0.133,0.266,0.871,0.097,0.232,0.903,0.778,0.661,0.218
LR_Elastic,0.133,0.267,0.871,0.098,0.233,0.903,0.775,0.661,0.221
GAM,0.02,0.098,0.981,0.02,0.106,0.98,0.667,0.583,0.33
RF,0.012,0.056,0.989,0.029,0.099,0.971,0.547,0.539,0.45
AdaB,0.057,0.17,0.945,0.076,0.196,0.924,0.461,0.521,0.537
XGBoost,0.0,0.001,1.0,0.022,0.067,0.978,0.453,0.506,0.545
