Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.13259964591592271,0.26505916367947846,0.871289729749378,0.09654794105404188,0.22899690582637375,0.9037449044759094,0.7874312511492729,0.6654806731506947,0.20853427888506992
LR_Ridge,0.13259995934006452,0.26510587578958067,0.8712894255185053,0.09660720565511689,0.22913148267296213,0.9036858196339606,0.7869571429404233,0.6652989075860828,0.209010816227036
LR_Lasso,0.13272529665300709,0.26642398782002574,0.8711677645645118,0.09733682449860565,0.2317886993706737,0.9029584138425012,0.7778083676157674,0.6614645496899726,0.21820646606831284
LR_Elastic,0.13280573709132698,0.26680493216348655,0.8710896835825928,0.09777908758249632,0.23267524669160722,0.9025174922141171,0.7752064052532448,0.6605027781785822,0.22082175980292418
GAM,0.020009197785957174,0.09759363752701032,0.9805777063977857,0.02042402544861602,0.10583356928745456,0.9796379239258703,0.6669779252889104,0.583025313931923,0.32960475744890694
RF,0.011568861511784472,0.05579013107917691,0.9887704730929828,0.02891427641861845,0.09944457782218116,0.9711734252610708,0.5469994396318348,0.5391724308705927,0.45019796292590597
AdaB,0.05653552297415392,0.16966998487513088,0.9451227611469073,0.07600462314613211,0.19572938966854855,0.9242259111759983,0.4605240739348707,0.5211866873709681,0.5371163924016626
XGBoost,2.2975299651376316e-06,0.0010705382304932864,0.9999977698605401,0.022274328002174167,0.06710022443391377,0.9777932336393989,0.4530194086550398,0.5058810401086328,0.5446595084625994
