Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.003,0.038,0.915,0.002,0.035,0.928,0.017,0.096,0.471
LR_Ridge,0.003,0.038,0.914,0.002,0.035,0.926,0.017,0.098,0.463
LR_Lasso,0.003,0.038,0.914,0.002,0.035,0.928,0.017,0.097,0.468
LR_Elastic,0.003,0.038,0.914,0.002,0.035,0.927,0.017,0.097,0.467
GAM,0.0,0.011,0.991,0.001,0.016,0.981,0.013,0.088,0.608
KNN,0.0,0.002,0.997,0.001,0.012,0.982,0.017,0.097,0.475
SVM,0.003,0.042,0.917,0.003,0.04,0.921,0.012,0.084,0.639
RF,0.0,0.002,0.998,0.0,0.009,0.988,0.013,0.083,0.611
AdaB,0.001,0.026,0.968,0.002,0.031,0.952,0.012,0.084,0.623
XGBoost,0.0,0.002,0.998,0.0,0.009,0.987,0.011,0.079,0.647
MLP,0.002,0.029,0.954,0.001,0.029,0.955,0.013,0.087,0.605
