Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.11,0.24,0.895,0.099,0.223,0.903,0.506,0.54,0.499
LR_Ridge,0.111,0.241,0.894,0.1,0.228,0.902,0.521,0.552,0.485
LR_Lasso,0.518,0.59,0.505,0.463,0.57,0.545,0.862,0.686,0.148
LR_Elastic,0.518,0.59,0.505,0.463,0.57,0.545,0.862,0.686,0.148
GAM,0.02,0.088,0.981,0.03,0.107,0.971,0.47,0.508,0.535
RF,0.01,0.05,0.99,0.032,0.098,0.968,0.436,0.503,0.569
AdaB,0.048,0.158,0.954,0.064,0.175,0.938,0.479,0.532,0.527
XGBoost,0.0,0.001,1.0,0.014,0.055,0.986,0.398,0.475,0.607
