Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.10987499450652434,0.2395812213135346,0.8950794784969784,0.09878624335052505,0.22347659943195916,0.903112462169003,0.5063366387265754,0.540181429306081,0.4993323236103464
LR_Ridge,0.11055174099509528,0.240675692304146,0.8944332477979454,0.10010464574165594,0.22755536341383417,0.9018193999245575,0.5206901002762686,0.5517790607394392,0.4851395639074212
LR_Lasso,0.518193567549095,0.5897221898238117,0.5051727684634026,0.46344825494383984,0.5700300096295348,0.5454593796602534,0.8620059876974064,0.6855501623821554,0.1476450608436345
LR_Elastic,0.5181975711461152,0.5897246852408999,0.5051689453962058,0.46345096065449576,0.570031961894094,0.5454567259542855,0.8620074499465071,0.6855498712784933,0.1476436149659247
GAM,0.019731128690534203,0.08817654091392105,0.9811585855239232,0.029678612016791305,0.1067468258623015,0.9708918210975469,0.47049959990846585,0.5075090653414257,0.5347681297152997
RF,0.009992226968505373,0.05035431842798031,0.9904583415979158,0.03242665901770632,0.09755371764911129,0.9681965925036448,0.43636474390027524,0.5027201777709344,0.5685208107073325
AdaB,0.048114892969932335,0.15762874608801516,0.9540546992958657,0.06367633343450228,0.1750320510145033,0.9375475475600042,0.4785236747283796,0.5316800847174334,0.5268338927116996
XGBoost,1.666098344480749e-06,0.0009398968384533818,0.9999984090292067,0.013894315457393001,0.055237970539827604,0.9863727380568844,0.39787341960434175,0.47473061677584916,0.6065811848190551
