Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.093,0.218,0.91,0.071,0.198,0.93,0.517,0.532,0.48
LR_Ridge,0.093,0.218,0.91,0.071,0.198,0.929,0.522,0.535,0.475
LR_Lasso,0.093,0.218,0.91,0.07,0.197,0.93,0.525,0.537,0.473
LR_Elastic,0.093,0.218,0.91,0.071,0.198,0.93,0.527,0.539,0.47
GAM,0.007,0.056,0.994,0.019,0.088,0.981,0.403,0.496,0.595
RF,0.009,0.043,0.991,0.02,0.075,0.98,0.416,0.478,0.581
AdaB,0.042,0.158,0.959,0.046,0.16,0.954,0.463,0.529,0.534
XGBoost,0.0,0.001,1.0,0.02,0.057,0.98,0.349,0.436,0.649
