Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.09264311462860617,0.21790214178555267,0.9100742672550728,0.0705776098512338,0.1975051324876542,0.9296364634612982,0.5172111513606301,0.5320458848513202,0.4801388739869521
LR_Ridge,0.09269567887497704,0.21774607980698438,0.9100232448084502,0.07074315886336845,0.1977759353767378,0.9294714165861089,0.522241687620382,0.5354814064055308,0.47508256335334664
LR_Lasso,0.09292549569150058,0.2182945953950314,0.9098001689144042,0.07034154562330493,0.19747854607161247,0.9298718116682205,0.5247518786166817,0.5368642150055618,0.47255951118323924
LR_Elastic,0.09299186598690856,0.2182407611707054,0.909735745373907,0.07057910163853934,0.197738056613689,0.929634976198825,0.527159248744456,0.5386140031138124,0.4701398066929888
GAM,0.006592339334596888,0.05569024143205057,0.9936010253158762,0.019036192528879118,0.08799837179671542,0.9810215473237631,0.40319944547506265,0.4963121753709272,0.5947347283965428
RF,0.00876001233455764,0.043269947922253395,0.9914969338930617,0.019819134009649395,0.07471863764436425,0.9802409806312106,0.4164581890534045,0.4781324888305109,0.5814080525350066
AdaB,0.042266714519316066,0.15799181480489835,0.958973040909653,0.04608323197323767,0.16032313129370254,0.9540565459271685,0.4634634747697363,0.5290389935479619,0.5341619313004338
XGBoost,9.392593374318381e-07,0.000680908922355434,0.9999990882907543,0.020327752090600493,0.05734518090820159,0.9797339052712106,0.3493450629394174,0.4363121351559443,0.6488650383716209
