Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.302,0.393,0.917,0.281,0.378,0.923,1.381,0.893,0.592
LR_Ridge,0.306,0.391,0.915,0.302,0.377,0.917,1.371,0.888,0.595
LR_Lasso,1.988,1.182,0.451,1.968,1.132,0.457,2.843,1.313,0.16
LR_Elastic,1.988,1.182,0.451,1.968,1.132,0.457,2.843,1.313,0.16
GAM,0.09,0.185,0.975,0.123,0.22,0.966,1.604,0.934,0.526
RF,0.026,0.088,0.993,0.146,0.21,0.96,1.401,0.897,0.586
AdaB,0.148,0.264,0.959,0.203,0.304,0.944,1.477,0.946,0.564
XGBoost,0.0,0.001,1.0,0.048,0.109,0.987,1.127,0.818,0.667
