Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.003,0.039,0.91,0.002,0.036,0.93,0.017,0.096,0.48
LR_Ridge,0.003,0.039,0.909,0.002,0.036,0.928,0.017,0.098,0.466
LR_Lasso,0.003,0.039,0.91,0.002,0.035,0.93,0.017,0.097,0.472
LR_Elastic,0.003,0.039,0.909,0.002,0.036,0.93,0.017,0.097,0.468
GAM,0.0,0.01,0.994,0.001,0.016,0.981,0.013,0.089,0.595
RF,0.0,0.008,0.992,0.001,0.013,0.98,0.014,0.088,0.565
AdaB,0.002,0.028,0.954,0.002,0.031,0.936,0.015,0.095,0.532
XGBoost,0.0,0.001,1.0,0.001,0.01,0.982,0.011,0.077,0.663
