Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.0030029379406571366,0.03923088485752012,0.9100742672550728,0.0022877057105949684,0.03555862759264602,0.9296364634612984,0.016764904720422878,0.09578901187699772,0.4801388739869521
LR_Ridge,0.0030230253331760357,0.03922695390212017,0.9094727318497817,0.0023406056374914524,0.03581916211308638,0.928009407183108,0.017228608370474057,0.09772674445161943,0.4657599374124838
LR_Lasso,0.00301557470098175,0.039314794337166545,0.9096958478690683,0.002275308234988922,0.03549258022128444,0.9300177757182699,0.017029532454079094,0.09667614262541102,0.471933061076771
LR_Elastic,0.0030222238383669203,0.03932119751260681,0.9094967333474568,0.0022914325049169446,0.03555871428158888,0.9295218375165223,0.017141788196948372,0.09716248535695811,0.46845213482859716
GAM,0.00021368437348904726,0.010026415674929325,0.993601025315249,0.0006170399719526309,0.01584313932560315,0.9810215473033738,0.013069324353518964,0.08935555040482072,0.5947347278166493
RF,0.00027151659055251967,0.007860222702952762,0.9918691864965758,0.0006601886925159957,0.013350791158113946,0.9796944113164775,0.014020529309637798,0.08801679477201077,0.5652389157137186
AdaB,0.0015515395664496704,0.027705990228591253,0.9535377236716382,0.0020808689083379396,0.030741681957875328,0.9359981947039833,0.015087562100050748,0.09472537748825471,0.5321514107640974
XGBoost,6.121422720464853e-07,0.0005123815049201521,0.9999816688378362,0.0005754151668712304,0.010384168211308834,0.9823018118407647,0.010882441019397374,0.0772407111637663,0.6625475577428872
