x_mp,y_mp,foreign_17,inc_hh_17,inc_17,nondipl_17,abi_17,arbl_17,GISD_14,geb_abs,hh_abs,imp_pct95_18,grn_pct05,grn_pct25,grn_pct75,grn_pct95,NO2_pct05_17,O3_pct05_17,PM10_pct05_17,PM25_pct05_17,noise_pct90_17,Method
0.028191512136840437,0.2796260446354735,0.26692728152302275,0.002048024334220866,0.03491668844351015,0.00853330749341138,0.024529112196203972,0.06333735440372382,1.2594248641677421,0.0015634947253613917,0.006901613875360246,4.675252356767245e-06,0.004391410494477855,8.180903873999945e-06,0.004686577699705585,0.027978795540912472,0.07844279674682672,0.04383433057681935,0.05231204592951523,0.43923094860333406,0.0003578776119382954,LR
0.012364167778326917,0.20953903989299008,0.25841252226674616,0.00013031421504797747,0.05756826607595332,0.007644989527353996,0.010468963770553253,0.0901022604123061,0.9312283348583854,0.0009342414306591773,0.006814826383093231,0.0001630567300999086,0.0043370628460127954,1.9302812107546696e-05,0.0013999302990235774,0.01790737939203041,0.06480525846507028,0.03329862971755844,0.043408348636591744,0.353574794073851,0.0002793912215114158,LR_Ridge
0.018705208752060654,0.23093701641754186,0.2602974099384179,0.0,0.03951292288741063,0.008659805074074888,0.015430222005204474,0.06982421082120836,1.101341915713497,0.0006108914723068293,0.005333870815446284,0.0001267291686004479,0.003609091439612866,0.0,0.001171362413190391,0.01706120550743818,0.06746778234405404,0.041096111822569746,0.04146375704473819,0.3796016169867212,0.00024299279165910237,LR_Lasso
0.016028325815257916,0.21833862970061127,0.2577390684691037,0.0,0.04244492508720025,0.008650727780328993,0.012614867453579936,0.07746759107564308,1.0546604325867885,0.0005280850941538739,0.00535615320630507,0.0001952977841525705,0.0035384731080962406,5.702541624796887e-07,0.0008267329490329822,0.01551099030713533,0.06336937321131572,0.03856159146610559,0.03957469423167877,0.3581741217064927,0.00020644921006721662,LR_Elastic
0.0016698872751321424,0.0024458503866274907,0.0011750535998843793,0.0005864129532616724,0.0014414378450637976,0.0013324541905752607,0.0016164883266485352,0.0016665429033031031,0.001471854747585355,0.0007400949271746615,0.0002046080949523632,0.006964843005688981,0.0008024682477301481,0.0005208705154039039,0.00032707351187738487,0.00036661342734997107,0.000857755171782415,0.00048146205278988275,0.0005289735611533009,0.0007795175436961177,0.004182775288916585,KNN
0.010021027360696932,0.18162359871442949,0.1299351668500081,0.02614207325801755,0.1441828135389497,0.005140086975764247,0.027757271302954644,0.2028113852326622,0.861692076970719,0.0012970331973626737,0.003995275260806874,0.0014730792048531227,0.006210292944483253,0.011406525933096634,0.004394765113290333,0.007159384190704299,0.0783533511459131,0.009874467556900645,0.00018271128399339754,0.04113584851177604,-0.0003630237966411931,SVM
0.007898842990314903,0.01033113273288031,0.07797474649629406,0.02533240262029276,0.09486447192066182,0.011757830592654483,0.03119611985490748,0.013341088006090508,0.1887759699241939,0.0006167680569840406,0.00040903054360577065,0.00011059909227471021,0.0001117820103368583,9.097117734798709e-05,0.0004510951141099673,0.00046299624981256394,0.003164723793725721,0.0011200362152778641,0.002503489262308278,0.0027030404428935117,5.758995466713657e-05,RF
0.007748189743922285,0.004127125454502445,0.06077938309914536,0.001623934662901061,0.019979385179752528,0.005128544559380777,0.04945779232343339,0.004103937416838866,0.8790920786625687,0.0002910813102753429,4.581286138373164e-05,9.918060307840814e-05,0.00020659173495629624,9.63263883223875e-05,0.00043784009564780125,0.00010214833697224091,0.00022472030328715142,0.00010731239172397932,0.0035253355528322983,0.003893264791775386,3.2181856254664966e-05,AdaB
0.008886744068216679,0.012435068252842319,0.053446608677066174,0.0070436668345714715,0.0684162967830115,0.00983887871726229,0.05560029325259226,0.012289763507966577,0.6513969665652575,0.0013517446715320181,0.000256958329925816,3.9081603283364075e-05,0.00015999818841386793,7.316221070141626e-05,7.323657295829066e-05,0.0001533303618809989,0.006712561777611437,0.00035522044326422584,0.0030270802469308912,0.0052088654424348405,0.00017930329059848705,XGBoost
0.01692132261827963,0.10337107897018324,0.17905932945305203,0.013019844997051078,0.04385866857388613,0.008963431903838127,0.031440300585769895,0.14117957915228646,0.4786949807220898,0.005373006420143311,0.003890937499811298,0.013481671408219908,0.0014736631213286722,0.00721743642120104,0.0016209023289404322,0.0014760596358155853,0.013885753858903194,0.003882882441498614,0.013875392910745011,0.05695033263130409,0.005025770554267705,MLP
