Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.1167148909383956,0.24727035259275343,0.8885480060370097,0.11304311407779477,0.24857809792388413,0.889129613392796,0.5486141753720419,0.5675785410534682,0.4575281277121419
GAM,0.02342650581178826,0.09290784089025964,0.9776298400031279,0.04047818056986874,0.1132149837015959,0.9602998239605369,0.5150774758067148,0.5375321195505377,0.4906893492413177
RF,0.01189002666086468,0.05833181186579165,0.9886461173122637,0.04262517165353978,0.11592573217622743,0.958194098782752,0.5004103931165524,0.5387084675569138,0.5051922187716895
XGBoost,1.1173230235904292e-06,0.0007651207137609485,0.999998933059202,0.025690548437411042,0.07083048895414454,0.9748032327254654,0.4683163792356654,0.5186525817720129,0.5369269069747252
