Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.11673193584137365,0.24713052172942668,0.8885317297212068,0.11278615663347868,0.24832894164548078,0.8893816320267953,0.5487193716327563,0.5676546929808683,0.4574241092323629
GAM,0.02342650581178826,0.09290784089025979,0.9776298400031279,0.040478180569868634,0.11321498370159588,0.960299823960537,0.5150774758067148,0.5375321195505373,0.4906893492413177
RF,0.00928837369176189,0.05447308968930497,0.9911304567883574,0.032167647284206555,0.10585980203989293,0.9684506259426843,0.4455504961795227,0.5112887613265878,0.5594379024249925
XGBoost,1.1963605800715398e-06,0.0007721540374796632,0.9999988575855996,0.024057833040744478,0.06835541942374514,0.9764045667715479,0.46567268497246267,0.5166873946353422,0.5395410023464746
