x_mp,y_mp,foreign_17,inc_hh_17,inc_17,nondipl_17,abi_17,arbl_17,GISD_14,geb_abs,imp_pct95_18,grn_pct05,grn_pct25,grn_pct75,NO2_mean_17,O3_mean_17,PM10_mean_17,PM25_mean_17,noise_pct90_17,Method
0.0317210262983504,0.2735550353993118,0.3036409171660253,0.0003796690148804127,0.010559629878129861,0.0068924034225496976,0.027077080580680347,0.04274904579658052,1.3457564067239969,8.933138192316337e-05,0.0005518440874776265,0.005306088445412771,0.00017645134550033914,0.0023513627338995202,0.04935386787102405,0.07828232757777738,0.02900193622704813,0.435723536171228,9.953058497761403e-05,LR
0.0002378601387175605,0.056970472677444525,0.20564706823191886,0.009552676191164833,0.079533731333265,0.0031312817771033453,0.0016779243915868713,0.13719253454431635,0.49456332630230077,0.0012856706767012116,0.0032879634324360476,0.002619254390160597,-1.289188143915876e-06,0.0016178107288373766,0.006135132039978985,0.03252834812451098,0.005915322551963076,0.14407907426398828,3.224677593915981e-05,LR_Ridge
0.0,0.0,0.149474284379525,0.0,0.0,0.0,0.0,0.0022805545624241196,0.9803499374638373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31976943831247e-05,0.0,LR_Lasso
0.0,0.0,0.16607876933306093,0.0,0.0,0.0,0.0,0.00792216208949852,0.8945375738866315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009010557239729211,0.0,LR_Elastic
0.006277140244465518,0.010576684747159037,0.006477950470689675,0.004159413435416914,0.007363361199307561,0.002268291582859949,0.023007935928561662,0.008051887848494454,0.017216805861735195,-0.00032153148270704925,-0.0009289116327756864,-0.0006303305178136154,0.0005599468407915476,-0.0007348058456656759,0.0014478454808008912,0.0024411590185869025,0.004289254476915616,0.006925399306633551,-0.00349495589111648,KNN
0.011976883709678709,0.015333999428363198,0.10330984999251047,0.02082001473198436,0.11334413624864839,0.018141373506979263,0.036790048098956495,0.16765271266546172,0.25085521934761135,0.023862457485187605,0.010973520024421035,0.0021844304350701837,0.004977317792060909,0.0030855070200311086,0.009214133757736564,0.00945860479684819,0.013418525421798921,0.02282718949603878,0.012054763362020271,SVR
0.055826752434255375,0.005360304562431029,0.06564207366801726,0.059525433064853625,0.010938764408890933,0.010129274738789208,0.18291997822212597,0.06951000112071262,1.31586193161677,0.007434496075750407,0.00021805643480472537,8.42671163154951e-05,1.1698415770755589e-06,0.00011485161581469283,0.00045869656978450026,0.0014587034296800194,0.00014523158846582173,0.0001845297390553946,0.000265079850368366,RF
0.008863166235635146,0.0013945416216460949,0.0817046750709441,0.001485755947176215,0.007131092271565542,0.004574688081015976,0.04089167583939204,0.0018798762116973068,0.9749291313684345,0.000373090156053324,4.122680430829195e-06,0.0005510939624371435,0.00035792091003703506,0.0007686391648390467,0.00048752122939879074,0.0005716047526907909,0.0019591839776953667,0.006890474176839534,0.00015393685044798878,AdaB
0.00915102969487035,0.0230391505168423,0.14494324422936394,0.007407408096995671,0.05680777858245641,0.0129146937522981,0.040210335091594995,0.012151095365158949,0.6203501915028646,0.0005763769991148693,0.00011836988594826625,0.00010499005904404112,0.00012936936539472698,0.00032134813946312903,0.009757467867466596,0.000644545294715182,0.0016659301339467137,0.004262490312326295,0.00012923689509520831,XGBoost
0.0003269461500385429,0.019415859709362437,0.04364537875568064,0.0048886153141003644,0.07429840467084611,0.00023439547164068043,0.07658084752029268,0.39610686489841906,0.26575519107526147,0.08622855724233297,0.017400999187363243,0.012069372165700476,0.025570993247591888,0.007015401775575969,0.21486503802987444,0.011989440764097015,0.1258919632274855,0.03342441717485125,0.0506759926840088,MLP
