Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.132,0.266,0.871,0.097,0.231,0.903,0.789,0.666,0.207
LR_Ridge,0.132,0.266,0.871,0.097,0.231,0.903,0.789,0.666,0.207
LR_Lasso,0.133,0.267,0.871,0.098,0.233,0.903,0.779,0.662,0.217
LR_Elastic,0.133,0.267,0.871,0.098,0.234,0.902,0.776,0.661,0.22
GAM,0.02,0.097,0.981,0.021,0.107,0.98,0.689,0.585,0.307
RF,0.008,0.049,0.992,0.031,0.098,0.97,0.477,0.51,0.521
AdaB,0.057,0.17,0.945,0.076,0.196,0.924,0.461,0.521,0.537
XGBoost,0.0,0.001,1.0,0.022,0.071,0.978,0.449,0.505,0.548
