Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.13240372376644152,0.2656685635308435,0.8714799051652595,0.09685970512397964,0.23086640724387097,0.9034340860368498,0.7891348660083316,0.6660723834806175,0.20682193541259664
LR_Ridge,0.1324040490254853,0.2657100292779995,0.8714795894466228,0.0969169708703858,0.23099126577900708,0.90337699398672,0.7886460174137914,0.6658856360967421,0.2073132886638539
LR_Lasso,0.13253274502090462,0.26690671015697137,0.8713546683260862,0.09759839925208841,0.23334421553329718,0.9026976324875774,0.7791643052691004,0.6619044627095151,0.21684358115484803
LR_Elastic,0.13261574575970594,0.2672427761345432,0.8712741021417021,0.09803041804933103,0.23411909538730202,0.9022669240732621,0.7764881563680891,0.6609099112672906,0.21953344152889143
GAM,0.019604807335936413,0.0968642837602599,0.9809702353804193,0.020534849870300183,0.10740003508663996,0.9795274356525923,0.689323693862675,0.5851096978111633,0.3071444984583107
RF,0.007868113137995727,0.04852528150726126,0.9923626721522618,0.03056451527030825,0.09811695193427085,0.9695281918508828,0.47701914619804076,0.5102716896308221,0.5205368062542266
AdaB,0.056535522974153915,0.16966998487513082,0.9451227611469074,0.076004623146132,0.19572938966854833,0.9242259111759984,0.460519288500233,0.5211750247765072,0.5371212023548757
XGBoost,1.971665554405453e-06,0.0010246627549114747,0.9999980861667873,0.02232493340127088,0.07148545797856073,0.9777427817346672,0.44921832643536047,0.504536567062207,0.5484800658453866
