Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.094,0.22,0.91,0.072,0.199,0.93,0.526,0.536,0.48
LR_Ridge,0.095,0.219,0.909,0.072,0.198,0.929,0.548,0.55,0.458
LR_Lasso,0.539,0.603,0.485,0.477,0.582,0.532,0.873,0.687,0.137
LR_Elastic,0.539,0.603,0.485,0.477,0.582,0.532,0.873,0.687,0.137
GAM,0.007,0.056,0.994,0.019,0.089,0.981,0.41,0.5,0.595
RF,0.008,0.039,0.993,0.015,0.066,0.985,0.425,0.481,0.58
AdaB,0.043,0.159,0.959,0.047,0.162,0.954,0.477,0.536,0.528
XGBoost,0.0,0.001,1.0,0.016,0.06,0.984,0.417,0.477,0.588
