Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.09417213381900782,0.2196929552021313,0.9100742672550727,0.07174245108425624,0.19912831451883814,0.9296364634613002,0.5257474120324487,0.536418466511192,0.48013887398696464
LR_Ridge,0.0947929054070631,0.21887201104179327,0.9094814874415623,0.07207182760102303,0.19836516913731142,0.9293134176742907,0.5478758617927085,0.5501081492272555,0.4582581751075917
LR_Lasso,0.5389735828340599,0.6034546076484405,0.48532976368930014,0.4769714048088618,0.5815563714316804,0.5321961493792858,0.8727382101330373,0.6869770019625292,0.13703299673806157
LR_Elastic,0.5389737084812414,0.603454666514003,0.48532964370778964,0.47697168378061805,0.5815565367550847,0.5321958757694626,0.872738352630087,0.6869770612444006,0.13703285583641356
GAM,0.00670114195335709,0.056147927799629016,0.9936010253145419,0.019350373543875574,0.08872158022481715,0.9810215472803832,0.4098540123876162,0.5003910825067879,0.5947347271627912
RF,0.007846309723011959,0.039127227899316504,0.9925074953431385,0.015072931312046782,0.06583931248776655,0.9852167756036808,0.4250029631204536,0.48100291876538803,0.5797553846008486
AdaB,0.04296430135967973,0.1592902594155844,0.9589730409096534,0.047140037826034695,0.1623670517108663,0.9537660098884497,0.47701917060718557,0.5358263097260827,0.5283215523534515
XGBoost,1.1547491235745237e-06,0.000738656272557171,0.9999988973207162,0.015948511687459695,0.059918963199438034,0.9843580241837497,0.4165852026286602,0.4771541848811766,0.5880788995580686
