Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.09146993739772,0.21553484727729022,0.9126546164873843,0.07341792536457895,0.19623413497504275,0.9279931923719882,0.5334753193317309,0.5363984051430792,0.47249748860230156
LR_Ridge,0.09246957948884285,0.21499516521584286,0.9117000501641909,0.07258617530916887,0.19443788348096208,0.9288089559057178,0.556868273886395,0.5528334431769977,0.4493664423674816
LR_Lasso,0.5394453933425226,0.6030414153799092,0.48487922801627603,0.4780280491473404,0.5800084807244288,0.5311598141078351,0.8751943006110541,0.6878596070981883,0.1346044047330991
LR_Elastic,0.539445580475135,0.6030414958333971,0.4848790493218299,0.47802853629600256,0.5800087741234765,0.5311593363223375,0.8751945958148339,0.6878597296913148,0.13460411283443086
GAM,0.00574722326609934,0.05411588926283149,0.9945119299893324,0.02268755794569085,0.09902930340850595,0.9777485047087301,0.40834317884737986,0.5018668616768108,0.5962286453590011
RF,2.0976185746898526e-28,1.2073391759179147e-14,1.0,0.013069144625605876,0.05369780038703362,0.9871820488219258,0.4025038412481153,0.4669824714751741,0.6020026055346464
AdaB,0.029057675244853393,0.13165002918892768,0.9722525907368772,0.04782892126264485,0.16332175417560146,0.9530903670280476,0.373253427306015,0.46593001381182575,0.6309255308411226
XGBoost,4.5656823598307146e-05,0.003543232198000755,0.9999564019296326,0.01216020938280206,0.04609398266149123,0.9880735140172427,0.36084761486552214,0.4426912377410349,0.6431924473809287
