Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.091,0.216,0.913,0.073,0.196,0.928,0.533,0.536,0.472
LR_Ridge,0.092,0.215,0.912,0.073,0.194,0.929,0.557,0.553,0.449
LR_Lasso,0.539,0.603,0.485,0.478,0.58,0.531,0.875,0.688,0.135
LR_Elastic,0.539,0.603,0.485,0.478,0.58,0.531,0.875,0.688,0.135
GAM,0.006,0.054,0.995,0.023,0.099,0.978,0.408,0.502,0.596
RF,0.0,0.0,1.0,0.013,0.054,0.987,0.403,0.467,0.602
AdaB,0.029,0.132,0.972,0.048,0.163,0.953,0.373,0.466,0.631
XGBoost,0.0,0.004,1.0,0.012,0.046,0.988,0.361,0.443,0.643
