Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.0029167709629375014,0.03848836558523185,0.9126546164873843,0.0023411328241257435,0.03504180981697514,0.927993192371984,0.01701133033583021,0.09578542948982167,0.47249748860239615
LR_Ridge,0.0029415298057127847,0.03855432146100159,0.9119131902166847,0.0023787186304988586,0.03532779686386949,0.9268371563277398,0.01731674495551946,0.09747633299359906,0.46302691953324504
LR_Lasso,0.002933252903899275,0.03865969902932718,0.9121610496380735,0.0023205018276123623,0.03502456443417137,0.92862774509014,0.01718212926153458,0.09671353112422579,0.4672012030988866
LR_Elastic,0.002940954078866409,0.03868941334157379,0.9119304308855045,0.00233248772221898,0.035109030441378454,0.928259091932876,0.017247337139373514,0.09708797236823925,0.46517917903352024
GAM,0.00018326604800312894,0.009663551645857825,0.994511929990021,0.0007234552887448497,0.017683804138100553,0.9777485047976402,0.013021147260763229,0.08961908238935308,0.5962286461004509
RF,1.0093299256523295e-30,8.247711110993846e-16,1.0,0.00043965704146246083,0.010179691067706833,0.9864773584477368,0.013012970852875862,0.0837855278483791,0.5964821874525763
AdaB,0.0009837814520747192,0.024652047442959443,0.9705397614979255,0.0014898336792215203,0.02968089005434605,0.9541768130231977,0.012106237957939331,0.08358620001520288,0.624598970196981
XGBoost,4.91853668368644e-07,0.00038969186194258865,0.9999852709904749,0.00039263171047988283,0.008569004049966496,0.9879237283105705,0.010921226698611628,0.07720201599874045,0.6613448567907643
